2025-03-27 15:45:59 Vid: 000779.mp4,  Current sd_score: 0.7114339470863342, Current avg. sd_score: 0.6903731704574742,  
2025-03-27 15:46:01 Vid: 000878.mp4,  Current sd_score: 0.6800447702407837, Current avg. sd_score: 0.6903029092315103,  
2025-03-27 15:46:03 Vid: 000158.mp4,  Current sd_score: 0.6715936660766602, Current avg. sd_score: 0.6901764954264099,  
2025-03-27 15:46:05 Vid: 000477.mp4,  Current sd_score: 0.6918327212333679, Current avg. sd_score: 0.6901876110358526,  
2025-03-27 15:46:07 Vid: 000262.mp4,  Current sd_score: 0.657372772693634, Current avg. sd_score: 0.6899688454469045,  
2025-03-27 15:46:09 Vid: 000668.mp4,  Current sd_score: 0.7645411491394043, Current avg. sd_score: 0.6904627017627488,  
2025-03-27 15:46:11 Vid: 000746.mp4,  Current sd_score: 0.6259506940841675, Current avg. sd_score: 0.6900382806596003,  
2025-03-27 15:46:13 Vid: 000302.mp4,  Current sd_score: 0.6943488717079163, Current avg. sd_score: 0.6900664544573017,  
2025-03-27 15:46:15 Vid: 000923.mp4,  Current sd_score: 0.7573771476745605, Current avg. sd_score: 0.6905035368807904,  
2025-03-27 15:46:16 Vid: 000414.mp4,  Current sd_score: 0.5595923066139221, Current avg. sd_score: 0.6896589482984236,  
2025-03-27 15:46:18 Vid: 000183.mp4,  Current sd_score: 0.7080800533294678, Current avg. sd_score: 0.6897770323050327,  
2025-03-27 15:46:20 Vid: 000551.mp4,  Current sd_score: 0.7564626336097717, Current avg. sd_score: 0.6902017813579292,  
2025-03-27 15:46:22 Vid: 000081.mp4,  Current sd_score: 0.6683794260025024, Current avg. sd_score: 0.6900636651847936,  
2025-03-27 15:46:24 Vid: 000110.mp4,  Current sd_score: 0.6978797316551208, Current avg. sd_score: 0.6901128228355504,  
2025-03-27 15:46:26 Vid: 000129.mp4,  Current sd_score: 0.7065312266349792, Current avg. sd_score: 0.6902154378592968,  
2025-03-27 15:46:28 Vid: 000849.mp4,  Current sd_score: 0.6873078346252441, Current avg. sd_score: 0.6901973782118803,  
2025-03-27 15:46:30 Vid: 000929.mp4,  Current sd_score: 0.7413409948348999, Current avg. sd_score: 0.6905130795490595,  
2025-03-27 15:46:31 Vid: 000870.mp4,  Current sd_score: 0.7684975862503052, Current avg. sd_score: 0.6909915121055088,  
2025-03-27 15:46:33 Vid: 000041.mp4,  Current sd_score: 0.7181570529937744, Current avg. sd_score: 0.6911571556475105,  
2025-03-27 15:46:35 Vid: 000706.mp4,  Current sd_score: 0.567192554473877, Current avg. sd_score: 0.6904058550343369,  
2025-03-27 15:46:37 Vid: 000603.mp4,  Current sd_score: 0.6744486689567566, Current avg. sd_score: 0.6903097274073635,  
2025-03-27 15:46:39 Vid: 000940.mp4,  Current sd_score: 0.770872175693512, Current avg. sd_score: 0.6907921372773405,  
2025-03-27 15:46:41 Vid: 000582.mp4,  Current sd_score: 0.7048134803771973, Current avg. sd_score: 0.6908755976529348,  
2025-03-27 15:46:43 Vid: 000577.mp4,  Current sd_score: 0.6913078427314758, Current avg. sd_score: 0.6908781553161215,  
2025-03-27 15:46:45 Vid: 000736.mp4,  Current sd_score: 0.6509396433830261, Current avg. sd_score: 0.6906432228929856,  
2025-03-27 15:46:46 Vid: 000597.mp4,  Current sd_score: 0.7338278889656067, Current avg. sd_score: 0.690895764799843,  
2025-03-27 15:46:48 Vid: 000266.mp4,  Current sd_score: 0.6415082216262817, Current avg. sd_score: 0.690608627920927,  
2025-03-27 15:46:50 Vid: 000951.mp4,  Current sd_score: 0.6839134097099304, Current avg. sd_score: 0.6905699272376264,  
2025-03-27 15:46:52 Vid: 000508.mp4,  Current sd_score: 0.7715517282485962, Current avg. sd_score: 0.6910353398871147,  
2025-03-27 15:46:54 Vid: 000244.mp4,  Current sd_score: 0.6658189296722412, Current avg. sd_score: 0.6908912461144584,  
2025-03-27 15:46:56 Vid: 000101.mp4,  Current sd_score: 0.6836370229721069, Current avg. sd_score: 0.6908500289375131,  
2025-03-27 15:46:58 Vid: 000803.mp4,  Current sd_score: 0.6498141288757324, Current avg. sd_score: 0.6906181876942262,  
2025-03-27 15:47:00 Vid: 000794.mp4,  Current sd_score: 0.717495858669281, Current avg. sd_score: 0.6907691858457715,  
2025-03-27 15:47:02 Vid: 000590.mp4,  Current sd_score: 0.8113230466842651, Current avg. sd_score: 0.6914426711018525,  
2025-03-27 15:47:04 Vid: 000046.mp4,  Current sd_score: 0.6979436874389648, Current avg. sd_score: 0.6914787878592809,  
2025-03-27 15:47:05 Vid: 000072.mp4,  Current sd_score: 0.6083968281745911, Current avg. sd_score: 0.6910197715074318,  
2025-03-27 15:47:07 Vid: 000942.mp4,  Current sd_score: 0.6842548251152039, Current avg. sd_score: 0.6909826014723096,  
2025-03-27 15:47:09 Vid: 000962.mp4,  Current sd_score: 0.6700736880302429, Current avg. sd_score: 0.6908683451147027,  
2025-03-27 15:47:11 Vid: 000843.mp4,  Current sd_score: 0.7053452730178833, Current avg. sd_score: 0.6909470240706983,  
2025-03-27 15:47:13 Vid: 000988.mp4,  Current sd_score: 0.713369607925415, Current avg. sd_score: 0.6910682272266697,  
2025-03-27 15:47:15 Vid: 000819.mp4,  Current sd_score: 0.7224505543708801, Current avg. sd_score: 0.6912369494156171,  
2025-03-27 15:47:17 Vid: 000048.mp4,  Current sd_score: 0.6573297381401062, Current avg. sd_score: 0.6910556274301866,  
2025-03-27 15:47:19 Vid: 000275.mp4,  Current sd_score: 0.7415595054626465, Current avg. sd_score: 0.6913242650792953,  
2025-03-27 15:47:21 Vid: 000095.mp4,  Current sd_score: 0.6742015480995178, Current avg. sd_score: 0.6912336686931589,  
2025-03-27 15:47:22 Vid: 000378.mp4,  Current sd_score: 0.64449542760849, Current avg. sd_score: 0.6909876779506081,  
2025-03-27 15:47:24 Vid: 000824.mp4,  Current sd_score: 0.6823198199272156, Current avg. sd_score: 0.6909422964949883,  
2025-03-27 15:47:26 Vid: 000718.mp4,  Current sd_score: 0.6331247091293335, Current avg. sd_score: 0.6906411632274588,  
2025-03-27 15:47:28 Vid: 000623.mp4,  Current sd_score: 0.6969640254974365, Current avg. sd_score: 0.6906739241718628,  
2025-03-27 15:47:30 Vid: 000249.mp4,  Current sd_score: 0.6610115170478821, Current avg. sd_score: 0.6905210251660691,  
2025-03-27 15:47:31 Vid: 000933.mp4,  Current sd_score: 0.6163021922111511, Current avg. sd_score: 0.6901404157663003,  
2025-03-27 15:47:33 Vid: 000163.mp4,  Current sd_score: 0.6747027635574341, Current avg. sd_score: 0.6900616522346225,  
2025-03-27 15:47:35 Vid: 000392.mp4,  Current sd_score: 0.7538459300994873, Current avg. sd_score: 0.6903854302948501,  
2025-03-27 15:47:37 Vid: 000702.mp4,  Current sd_score: 0.7791261672973633, Current avg. sd_score: 0.6908336158352669,  
2025-03-27 15:47:39 Vid: 000359.mp4,  Current sd_score: 0.7202029824256897, Current avg. sd_score: 0.6909812005920026,  
2025-03-27 15:47:41 Vid: 000272.mp4,  Current sd_score: 0.7473306059837341, Current avg. sd_score: 0.6912629476189613,  
2025-03-27 15:47:42 Vid: 000641.mp4,  Current sd_score: 0.6087894439697266, Current avg. sd_score: 0.6908526316804079,  
2025-03-27 15:47:44 Vid: 000167.mp4,  Current sd_score: 0.5690622329711914, Current avg. sd_score: 0.6902497089145208,  
2025-03-27 15:47:46 Vid: 000037.mp4,  Current sd_score: 0.7233077883720398, Current avg. sd_score: 0.6904125565965774,  
2025-03-27 15:47:48 Vid: 000059.mp4,  Current sd_score: 0.6996752023696899, Current avg. sd_score: 0.6904579617229163,  
2025-03-27 15:47:50 Vid: 000321.mp4,  Current sd_score: 0.6612787842750549, Current avg. sd_score: 0.690315624271951,  
2025-03-27 15:47:52 Vid: 000569.mp4,  Current sd_score: 0.7581104040145874, Current avg. sd_score: 0.6906447251444882,  
2025-03-27 15:47:54 Vid: 000941.mp4,  Current sd_score: 0.6175577044487, Current avg. sd_score: 0.6902916477498225,  
2025-03-27 15:47:56 Vid: 000840.mp4,  Current sd_score: 0.768504798412323, Current avg. sd_score: 0.690667672512623,  
2025-03-27 15:47:58 Vid: 000620.mp4,  Current sd_score: 0.7235630750656128, Current avg. sd_score: 0.6908250667832114,  
